id,title,note,excerpt,url,tags,created,cover,highlights,favorite
838975750,CREATE SCHEMA | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/create-schema,,2024-08-20T16:11:46.134Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fcreate-schema,"Highlight:TRANSIENT

Specifies a schema as transient.",false
838173872,Estimating Percentile Values | Snowflake Documentation,,,https://docs.snowflake.com/en/user-guide/querying-approximate-percentile-values,,2024-08-19T12:42:42.454Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fuser-guide%2Fquerying-approximate-percentile-values,"Highlight:The following Aggregate functions are provided for using t-Digest to approximate percentile values:

APPROX_PERCENTILE: Returns an approximation of the desired percentile value.

APPROX_PERCENTILE_ACCUMULATE: Skips the final estimation step and, instead, returns the intermediate t-Digest state at the end of an aggregation.

APPROX_PERCENTILE_COMBINE: Combines (i.e. merges) multiple input states into a single output state.

APPROX_PERCENTILE_ESTIMATE: Computes a percentile estimate of a t-Digest state produced by APPROX_PERCENTILE_ACCUMULATE or APPROX_PERCENTILE_COMBINE.",false
838173596,Estimating Frequent Values | Snowflake Documentation,,,https://docs.snowflake.com/en/user-guide/querying-approximate-frequent-values,,2024-08-19T12:42:23.924Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fuser-guide%2Fquerying-approximate-frequent-values,"Highlight:The following Aggregate functions are provided for using Space-Saving to estimate frequent values:

APPROX_TOP_K: Returns an approximation of frequent values in the input.

APPROX_TOP_K_ACCUMULATE: Skips the final estimation step and returns the Space-Saving state at the end of an aggregation.

APPROX_TOP_K_COMBINE: Combines (i.e. merges) input states into a single output state.

APPROX_TOP_K_ESTIMATE: Computes a cardinality estimate of a Space-Saving state produced by APPROX_TOP_K_ACCUMULATE and APPROX_TOP_K_COMBINE.",false
838173107,Estimating Similarity of Two or More Sets | Snowflake Documentation,,,https://docs.snowflake.com/en/user-guide/querying-approximate-similarity,,2024-08-19T12:41:30.382Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fuser-guide%2Fquerying-approximate-similarity,"Highlight:Snowflake uses MinHash for estimating the approximate similarity between two or more data sets. The MinHash scheme compares sets without computing the intersection or union of the sets, which enables efficient and effective estimation.

Highlight:The following Aggregate functions are provided for estimating approximate similarity using MinHash:

MINHASH: Returns a MinHash state containing a MinHash array of length k (input argument).

MINHASH_COMBINE: Combines two (or more) input MinHash states into a single output MinHash state.

APPROXIMATE_SIMILARITY (or APPROXIMATE_JACCARD_INDEX): Returns an estimation of the similarity (Jaccard index) of input sets based on their MinHash states.",false
838172961,Using Arrays to Compute Distinct Values for Hierarchical Aggregations | Snowflake Documentation,,,https://docs.snowflake.com/en/user-guide/querying-arrays-for-distinct-counts,,2024-08-19T12:41:09.407Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fuser-guide%2Fquerying-arrays-for-distinct-counts,"Highlight:If you are counting distinct values for hierarchical aggregations (e.g. multiple grouping sets, rollups, or cubes), you can improve performance by producing ARRAYs that contain the distinct values and computing the number of distinct values from these ARRAYs. Using this approach can be faster than using COUNT(DISTINCT <expr>).",false
838172821,Using Bitmaps to Compute Distinct Values for Hierarchical Aggregations | Snowflake Documentation,,,https://docs.snowflake.com/en/user-guide/querying-bitmaps-for-distinct-counts,,2024-08-19T12:40:45.342Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fuser-guide%2Fquerying-bitmaps-for-distinct-counts,"Highlight:If you are counting distinct values for hierarchical aggregations (e.g. multiple grouping sets, rollups, or cubes), you can improve performance by producing bitmaps that represent the distinct values and computing the number of distinct values from these bitmaps. Using this approach can be faster than using COUNT(DISTINCT <expr>).",false
838160501,GET_PRESIGNED_URL | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/functions/get_presigned_url,,2024-08-19T12:13:30.394Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Ffunctions%2Fget_presigned_url,Highlight:Server-side encryption is required on the internal or external stage.,false
838160031,BUILD_SCOPED_FILE_URL | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/functions/build_scoped_file_url,,2024-08-19T12:10:05.454Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Ffunctions%2Fbuild_scoped_file_url,Highlight:A scoped URL is encoded and permits access to a specified file for a limited period of time. The scoped URL in the output is valid for the caller until the persisted query result period ends (until the results cache expires). That period is currently 24 hours.,false
837869702,System functions | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/functions-system,,2024-08-18T19:47:55.326Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Ffunctions-system,,false
837844780,EXECUTE TASK | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/execute-task,,2024-08-18T19:27:15.834Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fexecute-task,"Highlight:EXECUTE TASK does not automatically resume child tasks in the task graph. The command skips any child tasks that are suspended.

To recursively resume all dependent tasks tied to a root task in a task graph, query the SYSTEM$TASK_DEPENDENTS_ENABLE",false
837843915,DESCRIBE TASK | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/desc-task,,2024-08-18T19:20:18.101Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fdesc-task,,false
837839461,CREATE TASK | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/create-task,,2024-08-18T19:05:51.147Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fcreate-task,"Highlight:The following are supported in a task WHEN clause:

SYSTEM$STREAM_HAS_DATA is supported for evaluation in the SQL expression.",false
837802957,SHOW PIPES | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/show-pipes,,2024-08-18T17:05:46.370Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fshow-pipes,,false
837802842,DESCRIBE PIPE | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/desc-pipe,,2024-08-18T17:04:45.855Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fdesc-pipe,,false
837801884,ALTER PIPE | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/alter-pipe,,2024-08-18T17:01:13.443Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Falter-pipe,,false
837619382,DROP FILE FORMAT | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/drop-file-format,,2024-08-18T10:54:18.348Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fdrop-file-format,,false
837522071,User-defined functions overview | Snowflake Documentation,,,https://docs.snowflake.com/en/developer-guide/udf/udf-overview,,2024-08-18T08:32:53.745Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fdeveloper-guide%2Fudf%2Fudf-overview,"Highlight:Supported languages¶

You write a function’s handler – its logic – in any of several programming languages. Each language allows you to manipulate data within the constraints of the language and its runtime environment. Regardless of the handler language, you create the procedure itself in the same way using SQL, specifying your handler and handler language.

You can write a handler in any of the following languages:

Language

	

Developer Guides




Java

	

Java UDFs

Java UDTFs




JavaScript

	

JavaScript UDFs

JavaScript UDTFs




Python

	

Python UDFs

Python UDTFs




Scala

	

Scala UDFs




SQL

	

SQL UDFs

SQL UDTFs",false
837520747,CREATE PIPE | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/create-pipe#usage-notes,,2024-08-18T08:28:02.983Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Fcreate-pipe%23usage-notes,"Highlight:All COPY INTO <table> copy options are supported except for the following:

FILES = ( 'file_name1' [ , 'file_name2', ... ] )

ON_ERROR = ABORT_STATEMENT

SIZE_LIMIT = num

PURGE = TRUE | FALSE (i.e. automatic purging while loading)

FORCE = TRUE | FALSE

Note that you can manually remove files from an internal (i.e. Snowflake) stage (after they’ve been loaded) using the REMOVE command.

RETURN_FAILED_ONLY = TRUE | FALSE

VALIDATION_MODE = RETURN_n_ROWS | RETURN_ERRORS | RETURN_ALL_ERRORS",false
837515936,Data Integration | Snowflake Documentation,,,https://docs.snowflake.com/en/user-guide/ecosystem-etl,,2024-08-18T07:52:43.057Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fuser-guide%2Fecosystem-etl,"Highlight:In addition, the scope of data integration has expanded to include a wider range of operations, including:

Data preparation.

Data migration, movement, and management.

Data warehouse automation.",false
837509774,Grant privileges to other roles | Snowflake Documentation,,,https://docs.snowflake.com/en/user-guide/data-exchange-marketplace-privileges#label-create-data-exchange-listing-on-account,,2024-08-18T07:20:07.272Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fuser-guide%2Fdata-exchange-marketplace-privileges%23label-create-data-exchange-listing-on-account,"Highlight:Global CREATE DATA EXCHANGE LISTING privilege¶

If the global CREATE DATA EXCHANGE LISTING privilege is granted to a role, any user with the role can create a listing or provider profile. As the creator and therefore owner of the listing, the role can be used to perform all tasks on the listing, including:

Create listings.

Modify listings properties.

View listings.

View incoming listing requests.

Reject listing requests.

Submit listings for approval.

Publish a listings.

Create and view provider profiles.",false
837509668,Prepare data for a listing | Snowflake Documentation,,,https://other-docs.snowflake.com/en/collaboration/provider-listings-preparing,,2024-08-18T07:19:30.627Z,https://rdl.ink/render/https%3A%2F%2Fother-docs.snowflake.com%2Fen%2Fcollaboration%2Fprovider-listings-preparing,"Highlight:If you choose to limit trial consumers to specific data and functionality, create a single share for your paid listing and use secure views and a system function provided by Snowflake, SYSTEM$IS_LISTING_PURCHASED, to control which data is visible to trial consumers and which data is available only to paying consumers.

Highlight:You cannot transfer the OWNERSHIP privilege for a share.

Highlight:When you offer a paid listing on the Snowflake Marketplace, you must offer consumers the ability to trial the listing before they purchase it. Trials are optional for paid private listings.

Highlight:If your listing includes a secure user-defined function (UDF), you cannot limit visibility of the UDF. Both paying customers and trial customers of your listing can view the secure UDF.

Highlight:When you configure your listing, you can choose to offer it in different regions. Offering listings in other regions requires replicating data.",false
837509512,ALTER EXTERNAL TABLE | Snowflake Documentation,,,https://docs.snowflake.com/en/sql-reference/sql/alter-external-table,,2024-08-18T07:18:45.800Z,https://rdl.ink/render/https%3A%2F%2Fdocs.snowflake.com%2Fen%2Fsql-reference%2Fsql%2Falter-external-table,"Highlight:ALTER EXTERNAL TABLE¶

Modifies the properties, columns, or constraints for an existing external table.",false
